trading_symbol,name,instrument_key,expiry,exchange,instrument_type,option,lot_size
SENSEX 90300 CE 08 JUL 25,SENSEX,BSE_FO|843433,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 80900 CE 08 JUL 25,SENSEX,BSE_FO|824632,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 81600 CE 08 JUL 25,SENSEX,BSE_FO|824919,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 86900 CE 08 JUL 25,SENSEX,BSE_FO|824631,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 85300 CE 08 JUL 25,SENSEX,BSE_FO|824916,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 86300 PE 08 JUL 25,SENSEX,BSE_FO|824638,2025-07-08 18:29:59,BSE,PE,BSE_INDEX|SENSEX,20.0
SENSEX 74900 PE 08 JUL 25,SENSEX,BSE_FO|824637,2025-07-08 18:29:59,BSE,PE,BSE_INDEX|SENSEX,20.0
SENSEX 87600 CE 08 JUL 25,SENSEX,BSE_FO|824917,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 83000 CE 08 JUL 25,SENSEX,BSE_FO|824915,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 79000 CE 08 JUL 25,SENSEX,BSE_FO|824910,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
SENSEX 77900 PE 08 JUL 25,SENSEX,BSE_FO|824925,2025-07-08 18:29:59,BSE,PE,BSE_INDEX|SENSEX,20.0
SENSEX 87000 PE 08 JUL 25,SENSEX,BSE_FO|824926,2025-07-08 18:29:59,BSE,PE,BSE_INDEX|SENSEX,20.0
SENSEX 75600 PE 08 JUL 25,SENSEX,BSE_FO|824924,2025-07-08 18:29:59,BSE,PE,BSE_INDEX|SENSEX,20.0
SENSEX 78600 CE 08 JUL 25,SENSEX,BSE_FO|824929,2025-07-08 18:29:59,BSE,CE,BSE_INDEX|SENSEX,20.0
